[Trava Official Channel] [https://t.me/trava_finance/337316] | 2/11/2026 6:40:19 PM: Is Trava team hiring a senior Blockchain engineer now?
[Trava Official Channel] [https://t.me/trava_finance/337315] | 2/11/2026 6:40:06 PM: Hello
[Stablegram | Jobs | Web3 Community] [https://t.me/c/1767198359/6990] | 1/13/2026 2:18:01 AM: gm
[Truflation] [https://t.me/truflation/117499] | 11/13/2024 7:21:06 PM: would you like to check my DM? By checking your careers, I just noticed that you are looking for a senior Solidity + Python engineer
[TAKADAO] [https://t.me/takafuldao/30495] | 11/12/2024 5:56:50 PM: may I ask if your team is hiring a senior Blockchain developer?
[TAKADAO] [https://t.me/takafuldao/30493] | 11/12/2024 5:15:47 PM: Hi Aisha, Sharene Would you like to check my DM?
[Yala Official] [https://t.me/yala_org/176665] | 11/4/2024 6:52:13 PM: Hi @c_ktl  Would you like to check my DM?
[Yala Official] [https://t.me/yala_org/173161] | 10/30/2024 5:27:58 PM: Hello, Admin Is your team looking for a senior Smart Contract engineer?  If then, I would like to apply it  Plz don't hesitate to ping me  Regards
[Nakamotofi Chat] [https://t.me/Nakamotofi/59030] | 7/25/2024 10:23:55 PM: Is your team hiring a senior Smart Contract engineer? I just dropped my resume on PM
[SettleTON Chat] [https://t.me/settletonchat/1695] | 7/25/2024 9:21:36 PM: plz check my DM - I just dropped my resume
[SettleTON Chat] [https://t.me/settletonchat/1694] | 7/25/2024 9:20:14 PM: Is your team hiring a senior DeFi smart contract engineer?
[Ithaca Protocol] [https://t.me/ithaca_protocol/23885] | 7/17/2024 6:01:11 PM: /start
[O3 Layer Official] [https://t.me/O3LayerOfficial/7769] | 7/17/2024 4:38:29 PM: I just sent my proposal to you could you check my DM?
[Tomo Community] [https://t.me/tomoinc/12612] | 7/16/2024 3:40:39 PM: Hello, could you check my dm?
[Tomo Community] [https://t.me/tomoinc/12610] | 7/16/2024 3:39:05 PM: thx
[Truflation] [https://t.me/truflation/107386] | 7/10/2024 3:24:58 PM: would you plz check my pm?
[Nuon] [https://t.me/NuonFinance/29309] | 7/10/2024 3:23:20 PM: would you plz check my pm?
[MTMS Network] [https://t.me/mtmsnetwork/77627] | 7/4/2024 10:23:28 PM: would you plz check my DM?
[Nuon] [https://t.me/NuonFinance/29281] | 7/4/2024 10:30:24 AM: Hi, Stefan Is your team hiring a senior Smart Contract engineer in DeFi?
[Omega Network Official] [https://t.me/OmegaNetworkTeam/696411] | 7/4/2024 5:14:44 AM: cc: ☝
[Omega Network Official] [https://t.me/OmegaNetworkTeam/696409] | 7/4/2024 5:14:11 AM: Hi, Jack This is Anthony - a core engineer at Shyft Network. Let's keep in touch if there's a need of my work for the Omega. Regards
[Tanssiland (Official Tanssi Channel)] [https://t.me/tanssiofficial/64322] | 7/4/2024 5:07:25 AM: could you ping your team regarding the engineering role?
[Tanssiland (Official Tanssi Channel)] [https://t.me/tanssiofficial/64318] | 7/4/2024 4:50:46 AM: Hi, Petra. This is Anthony - a core Smart Contract engineer at Shyft Network. With my solid experience, I would like to apply Tanssi careers. Let's keep in touch if there's a chance for me. Regards
[YieldNest - Official] [https://t.me/YieldNest/11634] | 7/2/2024 9:01:19 PM: Hi, This is Anthony - a former Smart Contract engineer at Radiant, Hector Finance, and Dopex. Tons of experience in DeFi yield, so I would like to contribute it for YieldNest Let's keep in touch if there's a chance for me Regards
[NRG] [https://t.me/c/1505946243/29460] | 6/28/2024 12:28:04 PM: just dropped my resume link on pm
[NRG] [https://t.me/c/1505946243/29459] | 6/28/2024 12:27:24 PM: Hi, MoStar Would you let me apply NRG careers as a senior Smart Contract engineer? I am a former one at Hector Finance and Shezmu
[InterCrone World] [https://t.me/intercroneworld/18448] | 6/28/2024 12:23:28 PM: just dropped my resume link on pm
[InterCrone World] [https://t.me/intercroneworld/18447] | 6/28/2024 12:22:50 PM: Hi, Michael Would you let me apply InterCrone World careers as a senior Smart Contract engineer? I am a former one at Hector Finance, Radiate, and Shyft Network. Regards
[STRX.Finance ( SFI Token )] [https://t.me/strxfinance/7156] | 6/28/2024 11:50:19 AM: I just dropped my resume link on pm
[STRX.Finance ( SFI Token )] [https://t.me/strxfinance/7155] | 6/28/2024 11:49:35 AM: Hi, I would like to apply STRX careers as a senior Smart Contract engineer Hector Finance, Radiate, and Dopex are my past DeFi projects Let's keep in touch if there's an opportunity for me
[OneSwap Official] [https://t.me/OneSwap/163689] | 6/28/2024 11:44:54 AM: I just dropped my resume link on pm
[OneSwap Official] [https://t.me/OneSwap/163688] | 6/28/2024 11:43:45 AM: Hi @Oliver_Hampande  Would you let me apply OneSwap careers as a senior Smart Contract engineer?
[JetStream Chat] [https://t.me/jetstreamtrade_chat/44865] | 6/28/2024 4:24:59 AM: would you like to check my pm?
[JetStream Chat] [https://t.me/jetstreamtrade_chat/44864] | 6/28/2024 4:24:03 AM: Hi, Mathias Is your team hiring a senior Smart Contract engineer? I am a former one at Hector Finance, Radiate, and Dopex
[Outlanders | Official] [https://t.me/OutlandersOfficial/33426] | 6/27/2024 4:25:23 PM: um... okay I would really appreciate if there's a new opportunity for me
[Truflation] [https://t.me/truflation/106291] | 6/27/2024 4:17:21 PM: cc: 👆
[Truflation] [https://t.me/truflation/106290] | 6/27/2024 4:16:47 PM: Hi, Stefan
Is your team hiring a Solidity and Rust engineer?
[Outlanders | Official] [https://t.me/OutlandersOfficial/33423] | 6/27/2024 3:28:21 PM: Hi, Banji This is Anthony - a former Smart Contract engineer at PlanetIX, Polemos, and BlockApeScissors Tons of experience in GameFi & NFT so it would be helpful for your project Let's keep in touch
[Ursa Finance] [https://t.me/ursafinance/19] | 6/27/2024 5:26:08 AM: is there anyone here?
[Ursa Finance] [https://t.me/ursafinance/15] | 6/27/2024 5:18:31 AM: This is Anthony - a former smart contract engineer at Hector Network and Coordinape Would you mind referring me if your team is looking for a senior guy?
[Ursa Finance] [https://t.me/ursafinance/14] | 6/27/2024 5:17:57 AM: Hi @Asela1112
[Truflation] [https://t.me/truflation/105945] | 6/25/2024 4:47:46 AM: especially senior Solidity / Rust developer
[Truflation] [https://t.me/truflation/105943] | 6/25/2024 4:47:23 AM: Hi, Stefan Is your team hiring a EVM & Solana Smart Contract engineer?
